Number of variables,Number of clauses,result 1/2,time 1/2,result LSU interrupted
19,100,96,0.020184040069580078,99
19,100,96,0.02008056640625,98
19,100,98,0.02071666717529297,100
19,200,187,0.040384769439697266,189
19,200,187,0.039505720138549805,190
19,200,190,0.042243242263793945,191
19,200,192,0.04129147529602051,192
19,200,186,0.04017066955566406,192
19,300,277,0.06284165382385254,281
19,300,288,0.06192922592163086,288
19,300,277,0.06419181823730469,282
19,300,276,0.06530475616455078,285
19,300,280,0.06108212471008301,284
19,400,370,0.08098721504211426,376
19,400,372,0.08130431175231934,376
19,400,374,0.0795602798461914,364
19,400,368,0.08219099044799805,370
19,400,371,0.0807340145111084,371
19,500,454,0.10050487518310547,465
19,500,458,0.10122299194335938,462
19,500,461,0.10055994987487793,458
19,500,464,0.09983158111572266,466
19,500,459,0.10003781318664551,465
19,600,556,0.12285900115966797,557
19,600,551,0.11957693099975586,554
19,600,550,0.11996006965637207,549
19,600,550,0.12018728256225586,553
19,600,549,0.11818146705627441,559
19,700,639,0.1405167579650879,638
19,700,644,0.1393449306488037,647
19,700,652,0.13972234725952148,656
19,700,634,0.14107656478881836,638
19,700,654,0.14146876335144043,656
19,800,730,0.1588590145111084,734
19,800,734,0.16411280632019043,730
19,800,728,0.16826200485229492,731
19,800,723,0.15975546836853027,734
19,800,736,0.16060495376586914,741
19,900,812,0.1879105567932129,820
19,900,827,0.18378567695617676,830
19,900,817,0.1817643642425537,826
19,900,818,0.18330740928649902,812
19,900,819,0.18064332008361816,824
21,100,97,0.02276158332824707,100
21,100,96,0.022269248962402344,98
21,100,99,0.0238039493560791,100
21,100,98,0.022876262664794922,100
21,100,98,0.02236795425415039,100
21,200,189,0.0444488525390625,192
21,200,187,0.04407835006713867,192
21,200,184,0.04452037811279297,192
21,200,188,0.044527530670166016,193
21,200,189,0.047066688537597656,194
21,300,278,0.06772851943969727,288
21,300,281,0.06868982315063477,288
21,300,281,0.07172369956970215,284
21,300,283,0.06923794746398926,285
21,300,285,0.06722235679626465,285
21,400,379,0.09063959121704102,379
21,400,370,0.09266281127929688,377
21,400,374,0.09286212921142578,374
21,400,370,0.09578919410705566,364
21,400,369,0.08799624443054199,370
21,500,464,0.1116030216217041,471
21,500,463,0.11057329177856445,464
21,500,458,0.11095666885375977,460
21,500,463,0.11318826675415039,462
21,500,464,0.11188197135925293,464
21,600,545,0.13467836380004883,553
21,600,551,0.13364291191101074,549
21,600,562,0.1325535774230957,564
21,600,542,0.13443779945373535,550
21,600,547,0.13229656219482422,550
21,700,643,0.16053533554077148,642
21,700,642,0.15511536598205566,645
21,700,642,0.2696571350097656,649
21,700,642,0.18841052055358887,647
21,700,650,0.16803336143493652,652
21,800,729,0.20198583602905273,737
21,800,726,0.19917798042297363,736
21,800,739,0.24612927436828613,734
21,800,740,0.1920788288116455,732
21,800,721,0.17906880378723145,720
21,900,833,0.2035808563232422,833
21,900,819,0.21599602699279785,814
21,900,832,0.2014448642730713,832
21,900,831,0.3062903881072998,831
21,900,818,0.22807741165161133,825
23,100,97,0.19211626052856445,100
23,100,98,0.03383898735046387,100
23,100,98,0.029662609100341797,100
23,100,98,0.025185108184814453,100
23,100,96,0.028146743774414062,100
23,200,193,0.05899357795715332,195
23,200,190,0.05913662910461426,193
23,200,189,0.06083965301513672,194
23,200,189,0.055554866790771484,193
23,200,188,0.051938772201538086,194
23,300,283,0.4565544128417969,284
23,300,283,0.0731964111328125,280
23,300,280,0.07617592811584473,290
23,300,276,0.07279181480407715,285
23,300,283,0.08081936836242676,283
23,400,374,0.11783480644226074,379
23,400,373,0.10371780395507812,373
23,400,377,0.09835171699523926,378
23,400,375,0.10402464866638184,374
23,400,375,0.09786248207092285,381
23,500,462,0.12084007263183594,464
23,500,464,0.12352418899536133,462
23,500,462,0.12064146995544434,462
23,500,463,0.12095904350280762,460
23,500,467,0.11890363693237305,469
23,600,549,0.14466214179992676,557
23,600,559,0.1433272361755371,558
23,600,547,0.1467118263244629,547
23,600,560,0.1428847312927246,558
23,600,557,0.14647912979125977,555
23,700,635,0.16899490356445312,648
23,700,645,0.16927886009216309,639
23,700,645,0.16719388961791992,640
23,700,642,0.16748476028442383,646
23,700,643,0.18680548667907715,643
23,800,731,0.23209786415100098,743
23,800,738,0.4537980556488037,733
23,800,740,0.4383854866027832,741
23,800,732,0.2562093734741211,738
23,800,732,0.4012901782989502,742
23,900,827,0.40406203269958496,825
23,900,818,0.2117595672607422,826
23,900,828,0.22252702713012695,827
23,900,821,0.21422076225280762,827
23,900,818,0.21641993522644043,827
25,100,99,0.02715015411376953,100
25,100,95,0.026645421981811523,100
25,100,97,0.027477502822875977,100
25,100,99,0.026371002197265625,100
25,100,96,0.026897907257080078,100
25,200,190,0.05547332763671875,195
25,200,191,0.05573415756225586,195
25,200,195,0.05220389366149902,198
25,200,188,0.05243253707885742,195
25,200,189,0.053173065185546875,196
25,300,281,0.07742547988891602,284
25,300,284,0.07747673988342285,283
25,300,279,0.07751917839050293,288
25,300,285,0.07794833183288574,285
25,300,284,0.07785582542419434,286
25,400,374,0.10546183586120605,374
25,400,373,0.10506033897399902,374
25,400,377,0.10410904884338379,381
25,400,374,0.10568451881408691,380
25,400,383,0.1043238639831543,384
25,500,460,0.135847806930542,464
25,500,458,0.13077402114868164,452
25,500,466,0.13001203536987305,470
25,500,464,0.1293489933013916,465
25,500,464,0.1323997974395752,459
25,600,557,0.15610671043395996,558
25,600,559,0.15415620803833008,562
25,600,561,0.1604783535003662,563
25,600,555,0.15596270561218262,556
25,600,551,0.15676307678222656,554
25,700,648,0.18215370178222656,642
25,700,648,0.1916356086730957,640
25,700,650,0.1887810230255127,652
25,700,649,0.1861402988433838,651
25,700,646,0.19769024848937988,652
25,800,742,0.23985767364501953,727
25,800,734,0.41411542892456055,730
25,800,732,0.42854833602905273,731
25,800,732,0.21566104888916016,738
25,800,741,0.23444509506225586,731
25,900,831,0.2482595443725586,824
25,900,822,0.261411190032959,825
25,900,827,0.25998902320861816,825
25,900,821,0.2701385021209717,828
25,900,825,0.3471832275390625,822
27,100,98,0.04963207244873047,100
27,100,98,0.03427243232727051,100
27,100,97,0.030033111572265625,100
27,100,98,0.03106069564819336,100
27,100,98,0.04413557052612305,100
27,200,190,0.12182903289794922,197
27,200,194,0.08071756362915039,198
27,200,187,0.06499290466308594,195
27,200,194,0.06284832954406738,196
27,200,191,0.06289315223693848,194
27,300,287,0.0921030044555664,287
27,300,278,0.09336161613464355,285
27,300,284,0.11051607131958008,287
27,300,279,0.1444857120513916,286
27,300,279,0.16734790802001953,282
27,400,376,0.18701791763305664,379
27,400,380,0.1922321319580078,375
27,400,374,0.19461846351623535,378
27,400,375,0.14300179481506348,378
27,400,370,0.12340545654296875,380
27,500,470,0.15100574493408203,469
27,500,460,0.17664408683776855,465
27,500,465,0.15642857551574707,470
27,500,466,0.15647578239440918,472
27,500,468,0.15553760528564453,468
27,600,563,0.3190195560455322,550
27,600,557,0.2008988857269287,562
27,600,557,0.3242161273956299,559
27,600,552,0.18528985977172852,553
27,600,559,0.18429923057556152,558
27,700,646,0.21154522895812988,647
27,700,646,0.2796900272369385,642
27,700,648,0.21697735786437988,648
27,700,643,0.2123887538909912,654
27,700,646,0.21805429458618164,646
27,800,732,0.42582130432128906,738
27,800,734,0.4154202938079834,737
27,800,736,0.35248613357543945,736
27,800,741,0.2259690761566162,723
27,800,735,0.22695660591125488,738
27,900,830,0.25957369804382324,824
27,900,818,0.2600853443145752,823
27,900,817,0.27476024627685547,798
27,900,819,0.2806551456451416,822
27,900,825,0.3201909065246582,826
29,100,97,0.030969619750976562,100
29,100,98,0.03147172927856445,100
29,100,98,0.03021526336669922,100
29,100,97,0.03076004981994629,100
29,100,96,0.03137969970703125,100
29,200,193,0.06503009796142578,195
29,200,195,0.06105303764343262,198
29,200,190,0.06026887893676758,195
29,200,190,0.06331658363342285,197
29,200,187,0.05995512008666992,195
29,300,282,0.09131979942321777,286
29,300,284,0.09156918525695801,288
29,300,283,0.09128975868225098,290
29,300,286,0.09078788757324219,289
29,300,286,0.08997702598571777,289
29,400,374,0.12275934219360352,381
29,400,384,0.12390875816345215,385
29,400,377,0.1240239143371582,374
29,400,378,0.11846637725830078,379
29,400,378,0.12269854545593262,379
29,500,466,0.15037202835083008,472
29,500,469,0.15089702606201172,449
29,500,468,0.15452098846435547,471
29,500,466,0.1981351375579834,467
29,500,460,0.18310999870300293,472
29,600,562,0.1937108039855957,553
29,600,561,0.1862475872039795,562
29,600,558,0.19220995903015137,548
29,600,554,0.18229126930236816,557
29,600,561,0.18162226676940918,560
29,700,652,0.37012386322021484,637
29,700,649,0.21437430381774902,641
29,700,645,0.2215862274169922,651
29,700,643,0.32521772384643555,641
29,700,647,0.32969188690185547,638
29,800,732,0.31880760192871094,725
29,800,733,0.24704957008361816,738
29,800,743,0.27817344665527344,731
29,800,737,0.41710615158081055,727
29,800,739,0.3002805709838867,728
29,900,826,0.3155248165130615,836
29,900,832,0.3692896366119385,827
29,900,829,0.334275484085083,828
29,900,835,0.2971057891845703,844
29,900,825,0.43749117851257324,811
31,100,99,0.037459373474121094,100
31,100,98,0.03758740425109863,100
31,100,100,0.04001808166503906,100
31,100,100,0.03359103202819824,100
31,100,98,0.03360629081726074,100
31,200,195,0.08289146423339844,196
31,200,194,0.06496167182922363,195
31,200,194,0.07261157035827637,198
31,200,191,0.06895828247070312,197
31,200,191,0.09247159957885742,197
31,300,285,0.1376791000366211,292
31,300,284,0.09746193885803223,286
31,300,284,0.09846186637878418,290
31,300,282,0.10312771797180176,288
31,300,282,0.1004934310913086,289
31,400,374,0.1312570571899414,374
31,400,375,0.18987655639648438,374
31,400,379,0.1513957977294922,379
31,400,376,0.12969183921813965,383
31,400,371,0.13444042205810547,374
31,500,466,0.16426849365234375,471
31,500,461,0.16326141357421875,468
31,500,460,0.16109490394592285,465
31,500,464,0.16634273529052734,461
31,500,466,0.16400957107543945,465
31,600,557,0.19473505020141602,557
31,600,559,0.1977381706237793,555
31,600,561,0.2010173797607422,546
31,600,555,0.19761133193969727,556
31,600,561,0.19586467742919922,563
31,700,657,0.25322890281677246,635
31,700,648,0.27674221992492676,643
31,700,643,0.25387120246887207,638
31,700,640,0.30866026878356934,641
31,700,648,0.24271249771118164,647
31,800,744,0.2694528102874756,734
31,800,743,0.27174997329711914,739
31,800,732,0.2602572441101074,731
31,800,743,0.2920267581939697,734
31,800,738,0.2717857360839844,728
31,900,830,0.36493873596191406,791
31,900,843,0.3125650882720947,836
31,900,826,0.36341404914855957,825
31,900,834,0.3062927722930908,820
31,900,822,0.35077404975891113,821
33,100,100,0.04053211212158203,100
33,100,100,0.04565572738647461,100
33,100,98,0.04218435287475586,100
33,100,100,0.040770530700683594,100
33,100,97,0.037030696868896484,100
33,200,194,0.0754086971282959,198
33,200,192,0.07361459732055664,197
33,200,189,0.07322812080383301,196
33,200,194,0.07553482055664062,199
33,200,194,0.10398316383361816,198
33,300,289,0.18778491020202637,290
33,300,285,0.13479399681091309,286
33,300,283,0.13184571266174316,289
33,300,286,0.12142014503479004,290
33,300,284,0.11549520492553711,288
33,400,372,0.15825724601745605,377
33,400,373,0.16326403617858887,374
33,400,375,0.15488386154174805,376
33,400,371,0.14070701599121094,379
33,400,383,0.14183807373046875,384
33,500,468,0.17909979820251465,465
33,500,463,0.19664716720581055,463
33,500,466,0.17645573616027832,470
