Number of variables,Number of clauses,result 7/8,time 7/8,result LSU,time LSU,result LSU interrupted
15,200,189,0.03258562088012695,190,0.02097773551940918,190
15,300,279,0.04888582229614258,282,0.10274267196655273,282
15,300,277,0.04741072654724121,280,0.14914631843566895,280
15,300,279,0.04716801643371582,284,0.10093474388122559,284
15,300,286,0.06691646575927734,286,0.24860548973083496,286
15,300,276,0.046708106994628906,280,0.1671123504638672,280
15,400,370,0.062340497970581055,374,0.2408304214477539,374
15,400,366,0.061946868896484375,373,0.26680803298950195,373
15,400,366,0.06367945671081543,369,0.3861415386199951,369
15,400,366,0.06290936470031738,374,0.2246718406677246,374
15,400,365,0.06240653991699219,371,0.31595420837402344,371
15,500,456,0.07805490493774414,463,0.5764696598052979,463
15,500,455,0.08173823356628418,459,0.6143538951873779,459
15,500,465,0.07856225967407227,466,0.3110525608062744,466
15,500,456,0.07950615882873535,457,0.7000720500946045,457
15,500,460,0.07951807975769043,460,0.5271458625793457,460
15,600,546,0.09482455253601074,554,0.6284234523773193,554
15,600,554,0.09431576728820801,554,0.6940677165985107,552
15,600,543,0.09354400634765625,551,0.7264199256896973,551
15,600,544,0.09552884101867676,552,0.7016432285308838,552
15,600,548,0.0956108570098877,554,0.7195088863372803,554
15,700,632,0.10838890075683594,644,0.9524085521697998,644
15,700,643,0.11053943634033203,645,1.01629638671875,645
15,700,642,0.11140561103820801,642,1.0805137157440186,641
15,700,639,0.10931563377380371,642,0.9932641983032227,641
15,700,638,0.11341357231140137,645,0.8388707637786865,645
15,800,716,0.13193988800048828,734,1.334256887435913,734
15,800,725,0.12155985832214355,733,1.1945478916168213,732
15,800,728,0.12370491027832031,731,1.349851131439209,731
15,800,728,0.12300586700439453,740,1.3163573741912842,740
15,800,733,0.12644553184509277,738,1.231748342514038,738
15,900,815,0.14106178283691406,824,1.4709579944610596,824
15,900,816,0.14037370681762695,822,1.5871789455413818,822
15,900,806,0.1394960880279541,819,2.009438991546631,813
15,900,822,0.13929414749145508,828,1.2288379669189453,828
15,900,812,0.1386096477508545,827,1.5296316146850586,824
17,100,98,0.018553972244262695,99,0.0011277198791503906,99
17,100,97,0.0182802677154541,97,0.0032444000244140625,97
17,100,97,0.018089771270751953,100,0.0008757114410400391,100
17,100,95,0.018361568450927734,99,0.0010933876037597656,99
17,100,97,0.01996469497680664,99,0.0016338825225830078,99
17,200,188,0.03633284568786621,189,0.10595178604125977,189
17,200,190,0.03993844985961914,192,0.0247499942779541,192
17,200,189,0.03532576560974121,190,0.06099367141723633,190
17,200,189,0.035059452056884766,192,0.03137493133544922,192
17,200,187,0.038366079330444336,193,0.07316088676452637,193
17,300,281,0.10499835014343262,283,0.20150017738342285,283
17,300,281,0.052370309829711914,283,0.2707552909851074,283
17,300,284,0.0533289909362793,285,0.20197391510009766,285
17,300,280,0.05370473861694336,285,0.30233311653137207,285
17,300,281,0.05529356002807617,284,0.31624364852905273,282
17,400,370,0.0706477165222168,373,0.7757992744445801,372
17,400,371,0.07048606872558594,375,0.5781748294830322,374
17,400,368,0.07619762420654297,376,0.45456957817077637,376
17,400,367,0.0707552433013916,375,0.5272490978240967,375
17,400,368,0.08458614349365234,373,0.5521950721740723,373
17,500,462,0.09049749374389648,463,1.572667121887207,463
17,500,452,0.09944367408752441,462,1.717604398727417,462
17,500,454,0.09009552001953125,463,1.5200443267822266,461
17,500,465,0.08777856826782227,467,0.9972338676452637,463
17,500,458,0.0892493724822998,467,1.2148141860961914,461
17,600,551,0.5685546398162842,556,1.7873387336730957,556
17,600,544,0.10703158378601074,556,2.479192018508911,548
17,600,551,0.10551595687866211,556,1.6624672412872314,546
17,600,550,0.10617780685424805,556,1.6471736431121826,556
17,600,545,0.1068572998046875,554,1.6835098266601562,554
17,700,631,0.12534737586975098,641,2.986161947250366,641
17,700,650,0.12419271469116211,650,2.075265884399414,650
17,700,634,0.12309002876281738,643,2.6505119800567627,643
17,700,632,0.12531208992004395,641,3.5901601314544678,638
17,700,638,0.32347774505615234,643,3.287848711013794,640
17,800,735,0.14477920532226562,742,3.2203266620635986,728
17,800,723,0.13853144645690918,735,3.546875,735
17,800,727,0.14162969589233398,739,2.711738109588623,725
17,800,725,0.1462109088897705,736,2.9832823276519775,736
17,800,726,0.14410710334777832,729,5.193435192108154,729
17,900,820,0.15765905380249023,824,4.350336313247681,824
17,900,808,0.16012191772460938,822,4.817418098449707,822
17,900,820,0.16046476364135742,825,4.349417686462402,818
17,900,819,0.15674281120300293,823,5.114321947097778,822
17,900,815,0.15807342529296875,824,4.7385804653167725,824
19,100,97,0.03329181671142578,97,0.003654956817626953,97
19,100,96,0.019972562789916992,99,0.0010285377502441406,99
19,100,97,0.0201570987701416,99,0.001443624496459961,99
19,100,97,0.02015376091003418,99,0.0012960433959960938,99
19,100,99,0.020064353942871094,99,0.0013184547424316406,99
19,200,190,0.043670654296875,193,0.05420875549316406,193
19,200,189,0.040334463119506836,192,0.0617375373840332,192
19,200,189,0.04467296600341797,192,0.034012556076049805,192
19,200,187,0.040281057357788086,190,0.06604933738708496,190
19,200,190,0.04528045654296875,192,0.04910922050476074,192
19,300,279,0.06132698059082031,283,0.7183067798614502,280
19,300,280,0.05966472625732422,282,0.641171932220459,282
19,300,275,0.060018062591552734,281,0.7698254585266113,281
19,300,284,0.059332847595214844,286,0.24837279319763184,286
19,300,277,0.05996060371398926,282,0.9266006946563721,280
19,400,367,0.08315038681030273,377,1.0049171447753906,377
19,400,374,0.07856488227844238,375,1.5948121547698975,374
19,400,369,0.0812375545501709,375,1.3306963443756104,375
19,400,367,0.26417994499206543,373,2.095379114151001,373
19,400,371,0.20106220245361328,374,1.8054063320159912,374
19,500,458,0.10020017623901367,468,1.9416701793670654,468
19,500,461,0.09863758087158203,466,2.7234816551208496,465
19,500,460,0.09581828117370605,465,2.8531956672668457,464
19,500,459,0.09789276123046875,466,2.4630143642425537,466
19,500,464,0.10242390632629395,464,3.612243413925171,460
19,600,550,0.11951708793640137,556,5.840994596481323,552
19,600,554,0.11915779113769531,556,4.756502151489258,551
19,600,554,0.13960695266723633,566,1.9921715259552002,560
19,600,550,0.12778735160827637,559,4.01423454284668,554
19,600,552,0.12227702140808105,553,6.14718770980835,540
19,700,632,0.14729857444763184,644,8.248008489608765,635
19,700,645,0.3630187511444092,648,6.737483501434326,647
19,700,634,0.14598703384399414,645,8.931389331817627,641
19,700,644,0.14295125007629395,645,9.128855228424072,641
19,700,632,0.14847469329833984,647,7.025324583053589,647
19,800,721,0.2050020694732666,733,12.122220754623413,732
19,800,740,0.1855790615081787,740,8.746147394180298,735
19,800,732,0.36260104179382324,735,8.604418754577637,735
19,800,728,0.3757443428039551,738,8.753882884979248,738
19,800,735,0.15847468376159668,740,9.127174377441406,727
19,900,819,0.18011927604675293,827,12.936411619186401,824
19,900,821,0.17815732955932617,828,12.58465051651001,824
19,900,818,0.18579339981079102,826,14.385858535766602,819
19,900,818,0.18868041038513184,819,17.5107843875885,814
19,900,820,0.17702198028564453,828,11.988197326660156,826
21,100,97,0.022329330444335938,99,0.0030879974365234375,99
21,100,98,0.022350072860717773,98,0.002233743667602539,98
21,100,97,0.022527217864990234,99,0.0011980533599853516,99
21,100,99,0.0225374698638916,99,0.0011386871337890625,99
21,100,97,0.022194385528564453,99,0.0025517940521240234,99
21,200,187,0.04418015480041504,191,0.25759291648864746,191
21,200,192,0.043477535247802734,194,0.07919859886169434,194
21,200,191,0.04417920112609863,193,0.0731356143951416,193
21,200,187,0.04870319366455078,192,0.08272194862365723,192
21,200,190,0.04361748695373535,193,0.060230255126953125,192
21,300,280,0.06603837013244629,288,0.7168581485748291,283
21,300,285,0.06940627098083496,287,0.4707679748535156,282
21,300,278,0.06367182731628418,286,0.7304513454437256,282
21,300,283,0.06445574760437012,287,0.2517852783203125,287
21,300,279,0.06522607803344727,285,0.9429526329040527,285
21,400,370,0.08937597274780273,376,2.2556798458099365,376
21,400,378,0.08472561836242676,383,0.6072587966918945,383
21,400,373,0.0883028507232666,380,0.9045915603637695,380
21,400,374,0.08829379081726074,377,2.16168475151062,377
21,400,373,0.08789324760437012,379,1.407508373260498,379
21,500,463,0.11034893989562988,468,5.291882038116455,464
21,500,458,0.10967755317687988,463,8.480458498001099,463
21,500,467,0.10879373550415039,468,4.363319158554077,468
21,500,469,0.11026453971862793,469,4.427781820297241,468
21,500,467,0.10988354682922363,476,1.944136142730713,460
21,600,555,0.1365966796875,560,6.276536464691162,560
21,600,551,0.13059234619140625,560,6.8722944259643555,548
21,600,552,0.1310586929321289,557,9.8226637840271,554
21,600,550,0.14070773124694824,557,8.828879594802856,554
21,600,558,0.3191797733306885,562,5.764721155166626,562
21,700,638,0.15143966674804688,649,17.541311264038086,645
21,700,646,0.15465021133422852,648,17.12400221824646,642
21,700,635,0.15357112884521484,647,15.292843580245972,646
21,700,651,0.1540367603302002,656,7.854288101196289,651
21,700,639,0.1502988338470459,648,16.97860336303711,645
21,800,731,0.178619384765625,734,23.55627727508545,726
21,800,743,0.18511319160461426,745,10.465211629867554,745
21,800,732,0.17664551734924316,738,26.186197996139526,732
21,800,731,0.1726093292236328,736,21.064332008361816,736
21,800,732,0.17369794845581055,740,21.397080421447754,740
21,900,813,0.19028377532958984,822,49.20361614227295,818
21,900,820,0.20850491523742676,824,44.89621186256409,814
21,900,823,0.4208409786224365,829,25.31050682067871,828
21,900,829,0.4312009811401367,835,25.392035007476807,830
21,900,818,0.21474885940551758,825,37.639833211898804,818
23,100,96,0.031022310256958008,100,0.0009887218475341797,100
23,100,96,0.024260759353637695,100,0.0008819103240966797,100
23,100,95,0.02529120445251465,99,0.0012996196746826172,99
23,100,98,0.02411031723022461,99,0.0014379024505615234,99
23,100,95,0.024287939071655273,100,0.0009052753448486328,100
23,200,190,0.04818153381347656,194,0.03847384452819824,194
23,200,190,0.04840493202209473,194,0.10186004638671875,194
23,200,194,0.049506425857543945,195,0.016547441482543945,195
23,200,189,0.04788470268249512,194,0.04330110549926758,194
23,200,192,0.04742860794067383,196,0.01113438606262207,196
23,300,278,0.07357931137084961,287,0.660224199295044,287
23,300,285,0.073211669921875,285,0.9604983329772949,285
23,300,283,0.07088065147399902,286,0.7797772884368896,286
23,300,287,0.07265210151672363,290,0.20972132682800293,290
23,300,283,0.07257747650146484,289,0.2829775810241699,289
23,400,371,0.0967249870300293,377,3.7623276710510254,376
23,400,379,0.09717059135437012,381,3.6052920818328857,376
23,400,369,0.09680318832397461,376,7.500882387161255,373
23,400,366,0.09560036659240723,376,6.054864406585693,375
23,400,373,0.10349631309509277,376,5.840241193771362,373
23,500,458,0.3145730495452881,467,15.679373979568481,464
23,500,466,0.42352986335754395,467,14.957491397857666,464
23,500,472,0.13161563873291016,474,6.810802459716797,468
23,500,460,0.1215665340423584,468,11.292121171951294,466
23,500,463,0.11851024627685547,471,9.187867879867554,467
23,600,552,0.1466841697692871,559,26.566943883895874,558
23,600,553,0.25420618057250977,562,24.65264582633972,549
23,600,549,0.3861656188964844,559,23.334758520126343,559
23,600,560,0.3418152332305908,562,13.13222050666809,561
23,600,560,0.31818222999572754,563,19.277420043945312,551
23,700,647,0.18310809135437012,653,27.177435398101807,651
23,700,650,0.18571829795837402,655,17.14793300628662,655
23,700,644,0.17475461959838867,649,45.59983682632446,645
23,700,644,0.3438417911529541,652,23.641071557998657,652
23,700,639,0.3794553279876709,651,45.53469729423523,644
23,800,728,0.202955961227417,743,53.95193958282471,739
23,800,737,0.22687506675720215,744,47.90325140953064,732
23,800,733,0.21244573593139648,742,86.98746919631958,730
23,800,734,0.37207698822021484,745,42.46039867401123,743
23,800,726,0.22899818420410156,737,84.58155918121338,717
23,900,815,0.24547743797302246,828,127.42371416091919,824
23,900,824,0.2818622589111328,831,99.80079674720764,826
23,900,829,0.43245363235473633,832,82.95773410797119,820
23,900,828,0.3453083038330078,831,88.34949445724487,826
23,900,831,0.22813820838928223,835,91.8567886352539,823
