Number of variables,Number of clauses,result 7/8,time 7/8,result RC2,time RC2
13,800,727,0.14060449600219727,727,2.2745511531829834
13,800,726,0.12227416038513184,728,1.713954210281372
13,800,716,0.12392950057983398,731,1.093696117401123
13,800,725,0.12013411521911621,726,2.65702223777771
13,800,733,0.11649322509765625,736,0.6686563491821289
13,900,809,0.12977004051208496,816,2.3689346313476562
13,900,814,0.13225746154785156,821,1.2775137424468994
13,900,815,0.1310882568359375,818,1.7081234455108643
13,900,821,0.1310265064239502,825,1.0510249137878418
13,900,817,0.1311049461364746,824,1.1141948699951172
15,100,97,0.016644001007080078,99,0.0029594898223876953
15,100,95,0.016424894332885742,98,0.0014786720275878906
15,100,98,0.01715874671936035,100,0.0009844303131103516
15,100,96,0.0164644718170166,97,0.0019350051879882812
15,100,95,0.01676201820373535,96,0.003062009811401367
15,200,187,0.032933950424194336,189,0.030333757400512695
15,200,187,0.033722639083862305,191,0.008367061614990234
15,200,186,0.03527331352233887,190,0.019795656204223633
15,200,187,0.034218788146972656,191,0.009676694869995117
15,200,189,0.03303265571594238,190,0.01648426055908203
15,300,279,0.05075979232788086,282,0.12170290946960449
15,300,277,0.05060148239135742,280,0.1302809715270996
15,300,279,0.0516667366027832,284,0.022350072860717773
15,300,286,0.05149579048156738,286,0.016025304794311523
15,300,276,0.050397396087646484,280,0.10958719253540039
15,400,370,0.06676530838012695,374,0.15703868865966797
15,400,366,0.06623959541320801,373,0.2079606056213379
15,400,366,0.06730771064758301,369,0.42638349533081055
15,400,366,0.06765174865722656,374,0.16809535026550293
15,400,365,0.06897282600402832,371,0.46888041496276855
15,500,456,0.08352327346801758,463,0.6307194232940674
15,500,455,0.0830385684967041,459,1.7158536911010742
15,500,465,0.08556842803955078,466,0.26420092582702637
15,500,456,0.08424854278564453,457,1.6189515590667725
15,500,460,0.08353042602539062,460,1.5154602527618408
15,600,546,0.10050010681152344,554,0.7912979125976562
15,600,554,0.1004486083984375,554,1.266359806060791
15,600,543,0.1009068489074707,551,2.0564184188842773
15,600,544,0.1041877269744873,552,1.4668707847595215
15,600,548,0.09958624839782715,554,1.1448731422424316
15,700,632,0.11917948722839355,644,1.5945870876312256
15,700,643,0.11859965324401855,645,1.4018614292144775
15,700,642,0.11927103996276855,642,2.6259491443634033
15,700,639,0.12128543853759766,642,2.6270618438720703
15,700,638,0.11818313598632812,645,1.9947254657745361
15,800,716,0.13423466682434082,734,1.9267795085906982
15,800,725,0.13634634017944336,733,2.8488032817840576
15,800,728,0.13391375541687012,731,3.9421892166137695
15,800,728,0.13596534729003906,740,0.9605472087860107
15,800,733,0.13456082344055176,738,2.3996617794036865
15,900,815,0.15342092514038086,824,2.8485054969787598
15,900,816,0.15354514122009277,822,4.371421813964844
15,900,806,0.14936542510986328,819,5.293920278549194
15,900,822,0.15094208717346191,828,1.6922998428344727
15,900,812,0.14957022666931152,827,2.778444528579712
17,100,98,0.018722057342529297,99,0.0031728744506835938
17,100,97,0.018800973892211914,97,0.0020384788513183594
17,100,97,0.019023418426513672,100,0.0010459423065185547
17,100,95,0.018673419952392578,99,0.0011324882507324219
17,100,97,0.018330097198486328,99,0.0011777877807617188
17,200,188,0.03693532943725586,189,0.11895990371704102
17,200,190,0.0376439094543457,192,0.010879993438720703
17,200,189,0.03776216506958008,190,0.0673220157623291
17,200,189,0.037511587142944336,192,0.012099027633666992
17,200,187,0.03778791427612305,193,0.006841182708740234
17,300,281,0.05670666694641113,283,0.13242101669311523
17,300,281,0.056894779205322266,283,0.12833237648010254
17,300,284,0.05772137641906738,285,0.14462018013000488
17,300,280,0.056386470794677734,285,0.07026815414428711
17,300,281,0.05702805519104004,284,0.14188671112060547
17,400,370,0.0755314826965332,373,0.8942902088165283
17,400,371,0.07676935195922852,375,0.6886579990386963
17,400,368,0.07580327987670898,376,0.4779086112976074
17,400,367,0.07580256462097168,375,0.33890414237976074
17,400,368,0.07477402687072754,373,0.6242554187774658
17,500,462,0.09635734558105469,463,1.9830162525177002
